docno,title,text
695,"некоторые эксперименты, относящиеся к задаче моделирования реактивных двигателей с горячей струей 
двигатели при исследованиях реактивного воздействия на смежные поверхности при набегающем потоке 
число Маха 1,80 .","некоторые эксперименты, относящиеся к задаче моделирования реактивных двигателей с горячей струей 
двигатели при исследованиях реактивного воздействия на смежные поверхности при набегающем потоке 
число Маха 1,80 .
расследование в свободной трансляция число Маха в 1.80 В тип продувки 
 туннель был сделан на изучение влияния на распределение давления
нулевой угол атаки крыла поверхность, когда некоторые выхлопных параметры
горячая турбореактивный двигатель разнообразны . исследования статического давления проводились на 
поверхности крыла, расположенной вблизи небольшого 
реактивного двигателя. этот реактивный двигатель работал с четырьмя типами реактивных двигателей 
выхлопных газов. эти реактивные выхлопы представляли собой горячую струю / водород, сгоревший в воздухе /, 
 струю холодного воздуха, струю холодного гелия и струю, состоящую из смеси двух 
 холодные газы / водород и диоксид углерода / . считалось, что горячая струя из-за ее 
высокой температуры выхлопных газов / 3300 градусов выше / и из-за того, что сжигание происходило 
на воздухе, способна имитировать выхлопные газы. 
параметры реального турбореактивного двигателя с форсажем . холодные струи
использованы были выбраны для того, что последствия изменения
выпускной параметров струйно-выход статического давления коэффициент, коэффициент удельной
нагревается, плотность, скорость и т. д., могли быть получены путем сравнения каждой простуде
струи с горячей струи или с другого холодного двигателя . испытания проводились в 
 диапазоне коэффициентов статического давления на выходе струи от 1 до 9 со значениями 
отношение удельных теплоемкостей 1,27, 1,40 и 1,66 и при вариациях 
 плотность и скорость порядка примерно в 8 и 3 раза больше, 
соответственно .
в рамках этого исследования было обнаружено, что выход струи 
коэффициент статического давления и соотношение удельных теплотрасс влияют на 
распределение давления на крыле, связанное с интерференцией струи при 
 изменения скорости и плотности на выходе не произошло . выход струи 
коэффициент статического давления в значительной степени повлиял на распределение давления в крыле 
в то время как соотношение удельных теплопроводностей оказало лишь незначительное влияние. 
повышение температуры в выхлопе реактивной тяги на выходе из реактивной тяги 
коэффициент статического давления, равный 4, практически не влиял на давление 
распределение, связанное с натиском струи на крыло ."
696,"нагрузки давления, создаваемые на плоское крыло реактивными струями, выходящими наружу 
в направлении по размаху под крылом и перпендикулярно a 
набегающий поток с числом Маха 2,0 .","нагрузки давления, создаваемые на плоское крыло реактивными струями, выходящими наружу 
в направлении по размаху под крылом и перпендикулярно a 
набегающий поток с числом Маха 2,0 .
было проведено исследование при числе Рейнольдса на фут 14,4 × 10, чтобы 
определить нагрузки давления, создаваемые ракетой на плоское крыло
струи, выходящие по размаху под крылом и 
перпендикулярно набегающему потоку с числом Маха 2,0 . диапазоны используемых переменных 
составляли / 1 / типы сопел - одно звуковое / реактивное число маха 
двумерный сверхзвуковой /реактивный двигатель с числом Маха 1,71/,. /2/ по вертикали 
положения сопел под крылом 4, 8 и 12 сопловая горловина 
диаметры,. и /3/ отношение общего давления в ракетной камере к 
статическое давление в свободном потоке от 0 до 130 .
добавочные нормальной силы из-за помех двигателя на крыле разнообразный
от одного до двух раз в реактивной тяги и, как правило, уменьшается по мере
соотношение повысилось давление . координата по хордам 
центр давления с добавлением нормальной силы оставался выше по потоку от центра сопла 
линия для положений сопел и коэффициентов давления в ходе исследования.
 координата по хордам приближалась к нулю по мере увеличения расстояния струи по вертикали 
под крылом . в направлении по размаху изменения были незначительными 
из-за изменения положения реактивной струи и соотношения давлений . некоторые 
у ракеты наблюдалось разделение потока пограничного слоя на крыле
струи вблизи крыла и при более высоких коэффициентах давления. величина 
 распределения давления по хордам и размаху из-за реактивной струи 
помехи были наибольшими для реактивных струй вблизи крыла и уменьшались по мере того, как 
струя смещалась дальше от крыла.
процедура проектирования используемых ракет приведена в приложении ."
697,воздействие на прилегающие поверхности в результате выстрела реактивных струй .,"воздействие на смежные поверхности в результате запуска реактивных струй .
этот документ представляет собой предварительный и краткий отчет о некоторых исследованиях, которые в настоящее время проводятся 
 для определения реактивного воздействия на смежные поверхности в результате 
запуска реактивных струй. представлены измерения давления под действием струи на плоской пластине 
, а также теневые графики, которые были получены, когда 
 реактивная струя с числом Маха 3 была выпущена вниз по потоку и 
выше по потоку в набегающий поток с числом Маха 2, расположенным в диапазоне от 2 до 4,7. 
 диаметры выхода ракетной струи из пластины. струйное воздействие на плоскую пластину 
при выходе реактивной струи вниз по потоку имеет тот же порядок 
 величины, что и ранее полученные при звуковых выходах с общим давлением 
в 10 раз ниже . максимальный коэффициент давления на пластине, равный 
диаметры выхода реактивной струи ниже пластины, и интегрирование 
измеренных давлений под действием струи в этом положении привели к нормальному 
сила, действующая на пластину, в 2,3 раза превышает мощность тяги ракеты 
реактивный двигатель ."
698,неустойчивая подъемная сила крыла с конечным соотношением сторон .,"нестационарная подъемная сила крыла с конечным соотношением сторон .
были рассчитаны функции нестационарной подъемной силы для крыльев с конечным соотношением сторон. 
путем корректировки аэродинамической инерции и угла атаки 
 бесконечного крыла . расчеты основаны на операционном методе 
.
установлено, что начальная подъемная сила конечного крыла лишь немного меньше 
, чем у бесконечного крыла. тогда как конечная подъемная сила может быть 
значительно меньше . теория показывает, что начальное распределение подъемной силы 
аналогично конечному распределению .
приведены кривые, показывающие изменение подъемной силы после внезапного изменения угла атаки на единицу 
 , во время проникновения остроконечного порыва и во время 
непрерывного колебания . рабочие эквиваленты этих функций 
были разработаны для облегчения расчета подъемной силы при 
различных условиях движения . в качестве приложения этих формул, 
вертикальное ускорение нагруженного крыло вызвана пронизывающий порыв ветра
была подсчитана ."
699,"приблизительные функции подъемной силы по индикам для нескольких крыльев конечного размаха в 
несжимаемом потоке, полученные из коэффициентов колебательной подъемной силы .","приблизительные функции подъемной силы по индикам для нескольких крыльев конечного размаха в 
несжимаемом потоке, полученные из коэффициентов колебательной подъемной силы .
функции нестационарной подъемной силы для крыла, испытывающего внезапное изменение скорости погружения 
, были представлены для треугольных крыльев с соотношением сторон 
равным 0, 2 и 4, а также для прямоугольных и эллиптических крыльев с соотношением сторон 
соотношения 0, 3 и 6 . для эллиптической и прямоугольной крылья
лифт распределений поперечных также были представлены . эти функции были 
рассчитаны на основе коэффициентов подъемной силы, связанных с колебаниями крыла 
 гармонично в чистом поступательном движении, как получено из нескольких источников 
.
результаты этих расчетов показывают, что нормализованные функции 
нестационарной подъемной силы практически не зависят от формы 
форма в плане для эллиптических, прямоугольных или умеренно сужающихся крыльев,.
 однако, для дельта-крыла увеличения подъемной силы к установившихся
стоимость значительно быстрее, чем для вышеупомянутых крылья
пропорции . эти результаты также подтверждают результаты других 
исследований в том смысле, что скорость увеличения подъемной силы имеет тенденцию увеличиваться с 
 уменьшением соотношения сторон . форма распределения величины подъемной силы по размаху 
 для всех практических целей, по-видимому, не зависит 
от времени для прямоугольных и эллиптических крыльев ."
700,двух - и трехмерные проблемы с неустойчивой подъемной силой при высокоскоростном полете .,"двух - и трехмерные проблемы с неустойчивой подъемной силой при высокоскоростном полете .
задача о переходной подъемной силе при полете двух- и трехмерных крыльев 
 на высоких скоростях обсуждается как краевая задача для 
классического волнового уравнения . формула Кирхгофа применяется таким образом, что 
анализ сводится, как и в стационарном режиме, к исследованию 
 источников и дублетов . приложения включают оценку 
кривых индикативной подъемной силы и момента качки для двумерного погружения и 
крыльев с качкой, летящих с числами маха, равными 0, 0,8, 1,0, 1,2, и 
представлены треугольные крылья как при прямом, так и при обратном потоке, которые 
сравниваются с двумерными значениями."
701,"численное определение внутренней подъемной силы двумерного опускающегося профиля 
профиль при дозвуковых числах Маха на основе коэффициентов колебательной подъемной силы с 
 расчетами для числа Маха 0.7.","численное определение внутренней подъемной силы двумерного опускающегося профиля 
профиль при дозвуковых числах Маха на основе коэффициентов колебательной подъемной силы с 
 расчетами для числа Маха 0.7.
обратные уравнения для связи несжимаемой циркуляционной силы 
подъемная сила, указывающая на подъемную силу, обусловленную гармоническими колебаниями, были 
изменены, чтобы включить подъемную силу без циркуляции, связанную с 
эффектами кажущейся массы . хотя эффекты кажущейся массы импульсивны по своей природе 
в несжимаемом потоке подъемная сила, обусловленная эффектами кажущейся массы в 
сжимаемом потоке, зависит от времени . приведены соответствующие 
обратные уравнения для полной подъемной силы при сжатии . используя 
обратные уравнения для сжимаемого потока, функции подъемной силы и 
 момента, обусловленные внезапным увеличением аэродинамического профиля 
вертикальной скорости, определяются численно для числа Маха 0,7 .
отсутствие достаточных коэффициентов флаттера препятствует вычислению 
этих функций при других числах Маха .
хотя определяющие лифт и моментных функций из-за проникновения
острые края порыв могут быть получены из вкладки колебательных или элерона
коэффициенты на подобный анализ, достаточно коэффициенты не
доступен в настоящее время . однако показан приблизительный метод для 
определения части этой функции нестационарной подъемной силы .
при сравнении функций индикативной подъемной силы при числах маха 
для сжимаемого случая оказывается менее быстрым, чем для 
несжимаемого случая . следовательно, расчет коэффициента порывистой нагрузки 
при высоких дозвуковых числах маха с использованием двумерных 
несжимаемых функций индикативной подъемной силы и общей поправки на 
сжимаемость , такая как коэффициент прандтля-глауэрта , может быть консервативной ."
702,"расчетное определение indical лифт и функции моментов для двух
габаритные тонуть и килевой профиль крыла при числах Маха 0.5 и 0.6 .","расчетное определение indical лифт и функции моментов для двух
габаритные тонуть и килевой профиль крыла при числах Маха 0.5 и 0.6 .
на определяющие лифт и моментных функций определяются приблизительно по
тонуть и килевой качки при числах Маха м введения 0,5 и 0,6 . эти
функции определяются, исходя из знания существующих колебательных
коэффициенты при низких снижение частоты и из приближенных
выражения этих коэффициентов за высоких нагрузок частот .
начальная часть функции индикативной подъемной силы, связанная с 
профилем, преодолевающим резкий порыв ветра в дозвуковом потоке, оценивается с помощью 
использования точного метода . используя приблизительный метод для определения 
 оставшейся части, определяется полная индикативная функция порыва ветра 
для m 0.5, m 0.6 и m 0.7 .
все индикативные функции подъемной силы и момента аппроксимируются с помощью 
экспоненциального ряда,. коэффициенты, которые отображаются в экспоненте 
аппроксимации для каждой индикативной функции приведены в таблице для m 0.5,
м 0,6 и м 0,7 ."
703,общая теория аэродинамического профиля .,"общая теория аэродинамического профиля .
в предположении о бесконечно малых возмущениях автор разрабатывает 
обобщенное интегральное уравнение теории аэродинамического профиля, которое применимо 
к любому движению и сжимаемой жидкости . последовательные специализации дают 
различные более простые интегральные уравнения, такие как уравнения поссио, Бирнбаума и 
интегральные уравнения прандтля, а также новые уравнения для крыла 
бесконечный размах с периодическим распределением нисходящего потока и для колеблющегося крыла 
с высоким соотношением сторон. наконец, приведено несколько решений и методов для 
решения этих интегральных уравнений ."
704,"процедура систематической функции ядра для определения аэродинамических сил 
силы, действующие на колеблющиеся или устойчивые конечные крылья на дозвуковых скоростях .","процедура систематической функции ядра для определения аэродинамических сил 
силы, действующие на колеблющиеся или устойчивые конечные крылья на дозвуковых скоростях .
дано подробное описание метода аппроксимации решений 
интегрального уравнения, связывающего колебательную или установившуюся подъемную силу и 
распределения нисходящего потока на конечных крыльях в дозвуковом потоке . метод решения 
применим к формам общего плана с изогнутыми или 
прямыми передними и задними кромками . более того, он применим непосредственно 
к поверхностям управления, таким как цельноподвижные хвостовики, но необходимы модификации 
, чтобы применить его к органам управления в целом. приложения 
метод предполагает вычисления многочисленных интегралов, которые необходимо обрабатывать с помощью 
 числовых процедур, но были приняты систематические схемы вычислений 
, которые хорошо подходят для работы автоматических цифровых 
вычислительных машин . эти схемы оценки были включены в 
программу для электронной машины обработки данных ibm 704 . с помощью этой машины 
можно определить распределение давления вместе с такими величинами, как 
коэффициенты сечения или суммарной подъемной силы и моментные коэффициенты или обобщенные силы. 
для данного значения частоты и числа Маха и для 
несколько /четыре или пять / режимов колебаний примерно за 4 минуты 
машинное время. в случае стабильных условий промывки соответствующие величины
могут быть получены примерно за 2 минуты машинного времени .
чтобы проиллюстрировать применение метода, представлены результаты нескольких 
расчетов . на этих иллюстрациях сравниваются суммарные силы и 
моменты /1/ с результатами аналитических процедур для 
круглой формы в плане с устойчивыми условиями промывки, /2/ с результатами 
другие теории и с экспериментом для прямоугольной формы в плане с соотношением сторон 
 1 при равномерном угле атаки и / 3 / с некоторыми экспериментальными результатами 
для прямоугольной формы в плане с соотношением сторон 2, подвергающейся 
колебаниям качки и взмаха крыльев . на иллюстрациях также представлены 
результаты расчетов флаттера в сравнении с результатами экспериментов для 
полностью подвижной поверхности управления с соотношением сторон 3,50 и для 
консольной прямоугольной формы в плане с соотношением сторон 5,04 ."
705,"о основной функции интегрального уравнения, связывающего распределения подъемной силы и 
нисходящего потока колеблющихся конечных крыльев в дозвуковом потоке .","о основной функции интегрального уравнения, связывающего распределения подъемной силы и 
нисходящего потока колеблющихся конечных крыльев в дозвуковом потоке .
в этом отчете рассматривается основная функция интегрального уравнения, которое 
связывает известное или предписанное распределение нисходящего потока с неизвестной подъемной силой 
распределение для гармонически колеблющегося конечного крыла в сжимаемом 
дозвуковом потоке . функция ядра приведена к форме, которая может быть 
точно вычислена путем разделения функции ядра на две части ..
 часть, в которой особенности изолированы и выражены аналитически 
, и неособая часть, которая может быть сведена в таблицу . форма функции ядра 
для звукового случая / число Маха 1 / рассматривается 
отдельно . кроме того, приведены результаты для частных случаев числа Маха 
o / несжимаемый случай / и частоты o / устойчивый случай / .
вывод интегрального уравнения, в котором задействовано это ядро 
функция, первоначально выполнявшаяся в другом месте / см., например, naca 
технический меморандум 979 /, воспроизводится в качестве приложения . в другом приложении 
приводится приведение формы полученной здесь функции ядра 
для трехмерного случая к известному результату possio для 
двумерного потока . третье приложение содержит некоторые замечания по 
вычислению функции ядра, а в четвертом приложении представлена 
альтернативная форма выражения для функции ядра ."
706,о взаимных связях som в теории нестационарных течений .,"о взаимных связях som в теории нестационарных течений .
в теории нестационарных течений относительно профилей / указательная подъемная сила/
 функция k /s/ Вагнера и функция /переменного подъема/ c /k/ теодорсена 
имеют фундаментальное значение. в этой статье сообщается о некоторых 
интересных соотношениях природы преобразований Фурье, которые существуют 
между этими функциями . общие проблемы нестационарных течений вокруг 
аэродинамических профилей могут получить унифицированную широкую трактовку при использовании этих функций 
 . также сообщаются некоторые приблизительные результаты, которые отличаются 
примечательной простотой, и проводится аналогия с переходными электрическими потоками 
."
707,"тепловой анализ областей застоя с акцентом на поддержание тепла 
форма носа при гиперзвуковых скоростях .","тепловой анализ областей застоя с акцентом на поддержание тепла 
форма носа при гиперзвуковых скоростях .
передние кромки и носовая часть гиперзвуковых аппаратов подвергаются 
сильному аэродинамическому нагреву и должны быть охлаждены каким-либо способом - например, dash, 
внутренняя конвекция, испарение или излучение . именно этот последний 
способ решения проблемы обсуждается в этой статье .
пренебрегая теплопроводностью в области передней кромки, максимальная температура для 
гиперзвуковых планеров дальнего действия имеет тот же порядок, что и температура плавления 
огнеупорных материалов с соответствующим большим температурным градиентом 
 вдали от передней кромки . включение электропроводности в кормовом направлении 
снижает максимальную температуру и распределяет тепло в 
месте, которое будет излучать его с поверхности. для
установившихся и переходных режимах, температуру на передней кромке
снижается проводимость, температуру кормовой части ведущей кромки
плечо увеличивается, тем самым устанавливая баланс по передаче тепловой 
между конвективный приток тепла, перераспределением тепла
проводимость и излучение тепла с поверхности . целесообразность
 такой механизм может быть дополнен соответствующим образом выбирают передовые
форм и материалов . обсуждается философия, лежащая в основе выбора передовых моделей 
формы, и показано влияние различных параметров, таких как 
форма, диаметр, излучательная способность, проводимость, толщина и т.д."
708,"аэродинамические характеристики двух крылатых спускаемых аппаратов на сверхзвуковых 
 и гиперзвуковых скоростях .","аэродинамические характеристики двух крылатых спускаемых аппаратов на сверхзвуковой 
 и гиперзвуковой скоростях .
в исследовательском центре Лэнгли проводились испытания двухкрылых 
подъемных гиперзвуковых спускаемых планеров . характеристики, устойчивость 
и данные управления представлены при числах маха 1,62 и 2,91 для 
углов атаки до 15 градусов и при числах Маха 6,8 и 9,6 для 
углы атаки до 25 градусов ."
709,"статических продольных аэродинамических характеристик на околозвуковых скоростях и
углы атаки до 99degree из спускаемого планер, имеющий складной
крыла панелей .","статических продольных аэродинамических характеристик на околозвуковых скоростях и
углы атаки до 99degree из спускаемого планер, имеющий складной
крыла панелей .
представлены данные, полученные в околозвуковой аэродинамической трубе 
исследование спускаемого планера со складывающимися панелями законцовки крыла. 
испытания проводились при углах атаки от -4 градусов до 99 градусов .
число Рейнольдса, основанное на средней геометрической хорде фиксированной формы в плане 
, варьировалось от 2,35 x 10 до 2,99 x 10 .
максимальное соотношение подъемной силы и лобового сопротивления для модели со складывающейся законцовкой крыла 
полностью выдвинутые панели снизились с максимального значения 7,8 при махе 
от 0,60 до примерно 3,4 при числах Маха от 1,03 до 1,20 . 
модель с полностью выдвинутыми складными панелями крыла была стабильной при значениях 
коэффициента подъемной силы от 0 до, по крайней мере, 0,8 . выше этого значения подъемной силы 
наблюдались тенденции к увеличению коэффициента тангажа, за которыми следовала нестабильная или 
нейтрально стабильная область, которая простиралась до значений угла атаки 
50 или 60 градусов . отклоняя складывания консолей крыла между
регионе работают и значительное изменение угла дифферента атаки или в любом из
 силы или момента коэффициентов угла атаки в диапазоне от 49degree
чтобы 99degree ."
710,"наименьшая высота шероховатости, способная повлиять на пограничный слой 
переход.","наименьшая высота шероховатости, способная повлиять на пограничный слой 
переход .
было проведено исследование для определения наименьшего размера изолированной 
шероховатости, которая повлияет на переход в ламинарно-пограничном слое .
данные высоты для трех типов шероховатости были найдены в низкой скорости
аэродинамическая труба . это были /1/ двумерные проволочные сетки, / 2 / 
трехмерные диски и / 3 / тип наждачной бумаги. помимо типа 
шероховатости, тестовые переменные включали местоположение шероховатости, 
распределение давления, степень турбулентности в туннеле и длину естественного 
ламинарного потока .
было обнаружено, что наиболее удовлетворительным параметром корреляции является 
число Рейнольдса шероховатости, основанное на высоте шероховатости и текучести 
свойства на этой высоте . было обнаружено, что значение этого критического числа Рейнольдса 
практически не зависит от всех тестируемых переменных, за исключением 
формы шероховатости . этот параметр также хорошо коррелирует с другими опубликованными 
 данными о критической шероховатости при низкоскоростном течении . значение 
числа Рейнольдса шероховатости, необходимое для перехода к 
самой шероховатости, также было определено для трех типов шероховатости и было 
 установлено, что оно приблизительно постоянно для данного типа шероховатости .
изучение ограниченного количества доступных данных о критической 
шероховатости при сверхзвуковом течении указывает на то, что влияние шероховатости может 
 все еще коррелировать с числом Рейнольдса шероховатости . значение 
это число Рейнольдса зависит в первую очередь от числа Маха в верхней части 
шероховатости . когда это число Маха больше 1,0, шероховатость 
 число Рейнольдса, основанное на условиях, вызвавших удар, вероятно, является 
характерным параметром ."
711,"исследование аэродинамических характеристик на дозвуковых скоростях при 
углах атаки от 4 градусов до 100 градусов у треугольно-крыла 
конфигурация входа в атмосферу со складывающимися панелями законцовки крыла .","исследование аэродинамических характеристик на дозвуковых скоростях при 
углах атаки от 4 градусов до 100 градусов у треугольно-крыла 
конфигурация входа в атмосферу со складывающимися панелями законцовки крыла .
исследование проводилось на дозвуковых скоростях в ""Лэнгли хайспид"" 
подъемная спускаемая конфигурация со складывающимися панелями законцовки крыла . 
конфигурация соответствует типу, используемому при большом угле атаки / около 90 градусов/
 при входе в атмосферу для минимизации аэродинамического нагрева. за счет разворачивания законцовки крыла 
панелей в воздушном потоке достигается умеренное скольжение под углом атаки для 
контролируемой посадки. в тестируемой базовой конфигурации использовался самолет a 
, площадь которого составляла 25 процентов от общей площади крыла . также были изучены эффекты 
изменения формы в плане и размера панелей законцовки крыла 
 а также эффекты развертывания панелей законцовки крыла под большим углом 
атаки. испытания проводились при числах Маха 0,40, 0,60 и"
